ABDOMEM ,FECG,TORAX,DIFF,Tempo,BOOL
0.0150830000000000,0.0151000000000000,-0.00345800000000000,0.0019,0,0
0.0169900000000000,0.0170000000000000,0.00558500000000000,-0.0098,1,0
0.00718400000000000,0.00720000000000000,0.0266840000000000,0.0127,2,0
0.0198760000000000,0.0199000000000000,0.0330530000000000,-0.0089,3,0
0.0109520000000000,0.0110000000000000,0.0348740000000000,-0.0081,4,0
0.00289400000000000,0.00290000000000000,0.0249400000000000,-0.0355,5,0
-0.0326090000000000,-0.0326000000000000,0.0110370000000000,0.0559,6,0
0.0232850000000000,0.0233000000000000,0.00670700000000000,-0.0316,7,0
-0.00831300000000000,-0.00830000000000000,-0.00367900000000000,-0.0094,8,0
-0.0176970000000000,-0.0177000000000000,-0.00631400000000000,0.027,9,0
0.00925900000000000,0.00930000000000000,0.0126240000000000,0.0059,10,0
0.0151510000000000,0.0152000000000000,-0.0161930000000000,-0.0196,11,0
-0.00440900000000000,-0.00440000000000000,0.0120820000000000,0.0053,12,0
0.000944000000000000,0.000900000000000000,0.0134970000000000,0.0122,13,0
0.0131110000000000,0.0131000000000000,0.0474670000000000,-0.0217,14,0
-0.00863800000000000,-0.00860000000000000,0.0495350000000000,0.0203,15,0
0.0116760000000000,0.0117000000000000,0.00787500000000000,-0.0058,16,0
0.00594800000000000,0.00590000000000000,-0.0107960000000000,0.0218,17,0
0.0277430000000000,0.0277000000000000,-0.00682800000000000,-0.0208,18,0
0.00691700000000000,0.00690000000000000,0.0233100000000000,-0.0218,19,0
-0.0148900000000000,-0.0149000000000000,-0.00948300000000000,0.0456,20,0
0.0306860000000000,0.0307000000000000,0.000765000000000000,-0.0229,21,0
0.00778300000000000,0.00780000000000000,0.0177610000000000,-0.0023,22,0
0.00552200000000000,0.00550000000000000,0.0354420000000000,-0.0314,23,0
-0.0258900000000000,-0.0259000000000000,0.00163200000000000,0.0358,24,0
0.00989800000000000,0.00990000000000000,-0.00104100000000000,0.0123,25,0
0.0222150000000000,0.0222000000000000,0.00604900000000000,0.0318,26,0
0.0539950000000000,0.0540000000000000,0.0115660000000000,-0.0278,27,0
0.0261600000000000,0.0262000000000000,-0.00929700000000000,-0.0169,28,0
0.00932000000000000,0.00930000000000000,0.0103970000000000,0.0477,29,0
0.0569650000000000,0.0570000000000000,-0.0100270000000000,-0.0438,30,0
0.0132380000000000,0.0132000000000000,0.0165230000000000,-0.0119,31,0
0.00125800000000000,0.00130000000000000,0.0207800000000000,0.0428,32,0
0.0441140000000000,0.0441000000000000,0.0226460000000000,0.0076,33,0
0.0516670000000000,0.0517000000000000,0.0479010000000000,-0.0337,34,0
0.0179670000000000,0.0180000000000000,0.0321290000000000,0.0193,35,0
0.0373160000000000,0.0373000000000000,0.0437500000000000,0.0392,36,0
0.0764950000000000,0.0765000000000000,-0.000299000000000000,-0.0316,37,0
0.0448880000000000,0.0449000000000000,0.0339500000000000,0.0253,38,0
0.0701670000000000,0.0702000000000000,0.0556310000000000,0.0194,39,0
0.0895860000000000,0.0896000000000000,0.0410190000000000,0.0387,40,0
0.128257000000000,0.128300000000000,0.0421250000000000,-0.0304,41,0
0.0978630000000000,0.0979000000000000,0.0469590000000000,0.0455,42,0
0.143416000000000,0.143400000000000,0.0756780000000000,-0.0718,43,0
0.0716130000000000,0.0716000000000000,0.0941090000000000,0.0206,44,0
0.0921860000000000,0.0922000000000000,0.0941380000000000,0.0019,45,0
0.0941010000000000,0.0941000000000000,0.106355000000000,0.0821,46,0
0.176255000000000,0.176200000000000,0.113740000000000,-0.00559999999999999,47,0
0.170671000000000,0.170600000000000,0.142126000000000,0.0292,48,0
0.199916000000000,0.199800000000000,0.169398000000000,-0.0234,49,0
0.176487000000000,0.176400000000000,0.179080000000000,0.024,50,0
0.200501000000000,0.200400000000000,0.189114000000000,0.00210000000000002,51,0
0.202692000000000,0.202500000000000,0.186078000000000,0.0768,52,0
0.279538000000000,0.279300000000000,0.170542000000000,-0.0121,53,0
0.267543000000000,0.267200000000000,0.231603000000000,0.0308,54,0
0.298484000000000,0.298000000000000,0.266215000000000,0.0185,55,0
0.317091000000000,0.316500000000000,0.268148000000000,0.037,56,0
0.354375000000000,0.353500000000000,0.272093000000000,-0.0005,57,0
0.354100000000000,0.353000000000000,0.297191000000000,-0.000199999999999978,58,0
0.354173000000000,0.352800000000000,0.354787000000000,0.00700000000000001,59,0
0.361529000000000,0.359800000000000,0.336230000000000,0.0409,60,0
0.402918000000000,0.400700000000000,0.392958000000000,0.0278,61,0
0.431329000000000,0.428500000000000,0.370624000000000,0.00700000000000001,62,0
0.438898000000000,0.435500000000000,0.400470000000000,-0.0222,63,0
0.417523000000000,0.413300000000000,0.447820000000000,0.023,64,0
0.441305000000000,0.436300000000000,0.401917000000000,0.0383,65,0
0.480506000000000,0.474600000000000,0.436376000000000,0.0306,66,0
0.512314000000000,0.505200000000000,0.471834000000000,-0.000900000000000012,67,0
0.512662000000000,0.504300000000000,0.464181000000000,0.0448000000000001,68,0
0.558921000000000,0.549100000000000,0.474173000000000,0.00459999999999994,69,0
0.565038000000000,0.553700000000000,0.462238000000000,-0.0253,70,0
0.541478000000000,0.528400000000000,0.512410000000000,0.0664,71,0
0.609890000000000,0.594800000000000,0.563248000000000,-0.0148,72,0
0.597249000000000,0.580000000000000,0.518643000000000,0.0208,73,0
0.620302000000000,0.600800000000000,0.544700000000000,0.0201,74,0
0.642922000000000,0.620900000000000,0.552689000000000,0.0271,75,0
0.672831000000000,0.648000000000000,0.595102000000000,-0.02,76,0
0.656032000000000,0.628000000000000,0.611302000000000,0.0502,77,0
0.709494000000000,0.678200000000000,0.626305000000000,0.00729999999999997,78,0
0.720461000000000,0.685500000000000,0.645160000000000,0.0203,79,0
0.744730000000000,0.705800000000000,0.647290000000000,0.0183,80,0
0.767258000000000,0.724100000000000,0.654768000000000,-0.0446,81,0
0.727389000000000,0.679500000000000,0.700875000000000,0.0303,82,0
